Date,Signal,Price,Target_Return_Fwd,Model_Capital,BH_Capital,Random_Capital,Correct_Prediction,Model_Type,Features_Used
2022-01-03,1,16.823823928833008,1,99957.95,99957.95,100000.0,1,Ensemble (RF + HGB),18
2022-01-04,1,17.517587661743164,1,104079.91423473014,104079.91423473014,99957.95,1,Ensemble (RF + HGB),18
2022-01-05,1,17.734390258789062,0,105368.03655739923,105368.03655739923,101066.77144552064,0,Ensemble (RF + HGB),18
2022-01-06,0,17.647668838500977,0,104720.71515539051,104852.78536184735,101066.77144552064,1,Ensemble (RF + HGB),18
2022-01-07,1,17.647668838500977,1,104677.79418344435,104852.78536184735,101066.77144552064,1,Ensemble (RF + HGB),18
2022-01-10,1,17.9078311920166,0,106220.95671356707,106398.52761608176,101024.52462618894,0,Ensemble (RF + HGB),18
2022-01-11,0,17.691028594970703,1,104802.82892617429,105110.40529341268,99674.61848888628,0,Ensemble (RF + HGB),18
2022-01-12,0,17.777751922607422,0,104802.82892617429,105625.66782138577,99674.61848888628,1,Ensemble (RF + HGB),18
2022-01-13,0,17.60430908203125,1,104802.82892617429,104595.16543028202,99674.61848888628,0,Ensemble (RF + HGB),18
2022-01-14,1,18.124631881713867,1,104759.89280423742,107686.63860632962,99632.62852177508,1,Ensemble (RF + HGB),18
2022-01-17,1,18.254714965820312,0,105511.76958913282,108459.52106586804,100220.29649303554,0,Ensemble (RF + HGB),18
2022-01-18,0,17.864471435546875,1,103125.75379746819,106140.90768451644,100220.29649303554,0,Ensemble (RF + HGB),18
2022-01-19,1,18.688316345214844,0,103083.12709589256,111035.74304636377,100220.29649303554,0,Ensemble (RF + HGB),18
2022-01-20,1,18.211355209350586,0,100452.25096559386,108201.90113430272,100220.29649303554,0,Ensemble (RF + HGB),18
2022-01-21,0,17.647668838500977,0,97218.7046444317,104852.78536184735,100178.20584833257,1,Ensemble (RF + HGB),18
2022-01-24,0,16.953903198242188,1,97218.7046444317,100730.80979469599,96116.8372015315,0,Ensemble (RF + HGB),18
2022-01-25,1,17.517587661743164,1,97177.1677934248,104079.91423473014,96075.50364506782,1,Ensemble (RF + HGB),18
2022-01-27,1,18.211355209350586,0,101025.77792658343,108201.90113430272,99880.48340803788,0,Ensemble (RF + HGB),18
2022-01-28,0,18.211355209350586,0,100897.66675931838,108201.90113430272,99880.48340803788,1,Ensemble (RF + HGB),18
2022-01-31,0,18.211355209350586,0,100897.66675931838,108201.90113430272,99753.55704795226,1,Ensemble (RF + HGB),18
2022-02-01,1,17.821107864379883,1,100855.45113980128,105883.26508810866,99711.55251667691,1,Ensemble (RF + HGB),18
2022-02-02,1,18.471515655517578,0,104536.32057279242,109747.63205611591,103220.15739911782,0,Ensemble (RF + HGB),18
2022-02-03,1,18.211355209350586,0,103063.98791162556,108201.90113430272,103177.51328007768,0,Ensemble (RF + HGB),18
2022-02-04,0,17.821107864379883,0,100727.51617559716,105883.26508810866,100966.5437967327,1,Ensemble (RF + HGB),18
2022-02-07,0,17.60430908203125,0,100727.51617559716,104595.16543028202,99738.25743431001,1,Ensemble (RF + HGB),18
2022-02-08,0,17.474227905273438,1,100727.51617559716,103822.29430316482,99001.27481065957,0,Ensemble (RF + HGB),18
2022-02-09,0,17.517587661743164,0,100727.51617559716,104079.91423473014,99246.93208314411,1,Ensemble (RF + HGB),18
2022-02-10,0,17.43086814880371,0,100727.51617559716,103564.67437159948,98755.61753817504,1,Ensemble (RF + HGB),18
2022-02-11,0,17.17070198059082,0,100727.51617559716,102018.90945252264,97281.63067848049,1,Ensemble (RF + HGB),18
2022-02-14,0,16.476940155029297,1,100727.51617559716,97896.95655021371,93351.0819001374,0,Ensemble (RF + HGB),18
2022-02-15,1,16.693740844726562,0,100685.33194886276,99185.06754046158,94457.9367011103,0,Ensemble (RF + HGB),18
2022-02-16,0,16.693740844726562,0,100557.57297296166,99185.06754046158,94457.9367011103,1,Ensemble (RF + HGB),18
2022-02-17,0,16.43358039855957,0,100557.57297296166,97639.33661864839,94416.90921178895,1,Ensemble (RF + HGB),18
2022-02-18,1,16.43358039855957,0,100515.42010074815,97639.33661864839,94416.90921178895,0,Ensemble (RF + HGB),18
2022-02-21,1,16.173416137695312,0,98924.13449275831,96093.58303199276,92922.17070670179,0,Ensemble (RF + HGB),18
2022-02-22,1,15.609732627868652,1,95476.3840074741,92744.4842581692,89567.22579977763,1,Ensemble (RF + HGB),18
2022-02-23,1,15.999977111816406,0,97863.3007532276,95063.10330573143,89527.10064661757,0,Ensemble (RF + HGB),18
2022-02-24,1,15.002686500549316,1,91763.40758796033,89137.74855414851,83836.36613187424,1,Ensemble (RF + HGB),18
2022-02-25,1,15.306209564208984,1,93619.89579771722,90941.11640615886,83836.36613187424,1,Ensemble (RF + HGB),18
2022-02-28,1,15.436291694641113,1,94415.53860171213,91713.99319948668,83836.36613187424,1,Ensemble (RF + HGB),18
2022-03-02,1,15.609732627868652,0,95476.3840074741,92744.4842581692,83836.36613187424,0,Ensemble (RF + HGB),18
2022-03-03,0,15.52301025390625,0,94824.12805346098,92229.22739640673,83836.36613187424,1,Ensemble (RF + HGB),18
