Date,Signal,Price,MTM_Price,Target_Return_Fwd,Model_Capital,BH_Capital,Random_Capital,Correct_Prediction,Model_Type,Features_Used
2022-01-03,1,20.770545676569213,20.674163818359375,1,99957.95,99494.11370441754,100000.0,1,Ensemble (RF + HGB),22
2022-01-04,0,20.72235265271417,20.722354888916016,1,99599.25520173181,99726.03253294314,99957.95,0,Ensemble (RF + HGB),22
2022-01-05,1,20.818737030029297,20.96331024169922,0,99557.27913914708,100885.62667557108,100295.38970327252,0,Ensemble (RF + HGB),22
2022-01-06,0,20.866927458253066,20.818737030029297,0,99660.90017123711,100189.87018999431,100295.38970327252,1,Ensemble (RF + HGB),22
2022-01-07,1,20.770546492836647,20.770544052124023,1,99618.91273515552,99957.94218238107,100295.38970327252,1,Ensemble (RF + HGB),22
2022-01-10,1,21.541607162838048,21.445228576660156,0,102854.79753267718,103204.85167717755,100253.28520387226,0,Ensemble (RF + HGB),22
2022-01-11,0,21.059695275403044,21.011499404907227,0,100877.6268203984,101117.53632500902,97885.50572252457,1,Ensemble (RF + HGB),22
2022-01-12,0,21.011502650858663,20.91512107849121,0,100877.6268203984,100653.71702613313,97885.50572252457,1,Ensemble (RF + HGB),22
2022-01-13,1,20.866928100585938,20.91512107849121,0,100835.41489825003,100653.71702613313,97885.50572252457,0,Ensemble (RF + HGB),22
2022-01-14,0,20.91512008049787,20.866928100585938,0,100940.13821873776,100421.78901851989,97843.84584671876,1,Ensemble (RF + HGB),22
2022-01-17,0,20.818737374138976,20.770544052124023,0,100940.13821873776,99957.94218238107,97268.60110630517,1,Ensemble (RF + HGB),22
2022-01-18,0,20.625970214478045,20.57777976989746,1,100940.13821873776,99030.26686827872,97268.60110630517,0,Ensemble (RF + HGB),22
2022-01-19,1,20.770544750274297,20.818737030029297,0,100897.9147632364,100189.87018999431,97268.60110630517,0,Ensemble (RF + HGB),22
2022-01-20,0,20.52958713598392,20.57777976989746,0,99600.63722027103,99030.26686827872,97268.60110630517,1,Ensemble (RF + HGB),22
2022-01-21,0,20.28863030826647,20.28862953186035,0,99600.63722027103,97638.7355389499,97227.05504940105,1,Ensemble (RF + HGB),22
2022-01-24,1,19.565757399131574,19.517566680908203,1,99558.66090270391,93928.00674527754,93642.31001015243,1,Ensemble (RF + HGB),22
2022-01-25,1,19.806713079226782,20.09586524963379,1,102256.06875936851,96711.06022484753,93601.43300395556,1,Ensemble (RF + HGB),22
2022-01-27,1,21.204268822771198,20.96331024169922,0,106669.98742630568,100885.62667557108,99067.2137916457,0,Ensemble (RF + HGB),22
2022-01-28,1,21.30065123395039,20.818737030029297,1,105934.3391678386,100189.87018999431,98383.99796819434,1,Ensemble (RF + HGB),22
2022-01-31,1,21.30065090726014,20.96331024169922,0,106669.98742630568,100885.62667557108,100533.66481753462,0,Ensemble (RF + HGB),22
2022-02-01,0,20.818737667763102,20.62596893310547,1,105801.15333566566,99262.17651771667,100491.51635637578,0,Ensemble (RF + HGB),22
2022-02-02,1,20.96331180225719,20.91512107849121,1,105758.03302287523,100653.71702613313,101061.09161513794,1,Ensemble (RF + HGB),22
2022-02-03,1,21.204268460524432,21.204269409179688,0,106973.6425978508,102045.2391763743,101018.84584373495,0,Ensemble (RF + HGB),22
2022-02-04,0,20.722354888916016,20.770544052124023,0,104410.67780627876,99957.94218238107,98952.54776641932,1,Ensemble (RF + HGB),22
2022-02-07,1,20.86692880367911,20.722354888916016,0,104367.81403622351,99726.03253294314,98722.97070468239,0,Ensemble (RF + HGB),22
2022-02-08,0,20.433204650878906,20.385013580322266,1,102069.17947318678,98102.58237508872,97115.8494916588,0,Ensemble (RF + HGB),22
2022-02-09,0,20.722354604344194,20.433204650878906,0,102069.17947318678,98334.5012036143,97345.43564015851,1,Ensemble (RF + HGB),22
2022-02-10,0,19.999481485421164,20.385013580322266,0,102069.17947318678,98102.58237508872,97115.8494916588,1,Ensemble (RF + HGB),22
2022-02-11,0,19.66214152879753,20.047672271728516,0,102069.17947318678,96479.1322172343,95508.7282786352,1,Ensemble (RF + HGB),22
2022-02-14,0,19.46937491461164,19.324800491333008,1,102069.17947318678,93000.32225208753,92064.9087908511,0,Ensemble (RF + HGB),22
2022-02-15,1,19.710331539220682,19.662139892578125,1,102026.74770957399,94623.7632308543,93780.86859478283,1,Ensemble (RF + HGB),22
2022-02-16,0,19.903096842468674,19.806713104248047,0,102894.38139187991,95319.51971643107,93780.86859478283,1,Ensemble (RF + HGB),22
2022-02-17,0,19.372993118605514,19.56575584411621,0,102894.38139187991,94159.91639471547,93739.9660245271,1,Ensemble (RF + HGB),22
2022-02-18,0,19.228416777249347,19.324800491333008,0,102894.38139187991,93000.32225208753,93506.77669670872,1,Ensemble (RF + HGB),22
2022-02-21,0,18.312776565551758,18.987459182739258,0,102894.38139187991,91376.87209423311,91874.48567112228,1,Ensemble (RF + HGB),22
2022-02-22,1,18.360966737409058,18.312776565551758,1,102851.79737851313,88129.97177852428,88727.57289940385,1,Ensemble (RF + HGB),22
2022-02-23,1,17.638097587237077,18.505542755126953,0,103661.6623215075,89057.6562717143,88687.60266220392,0,Ensemble (RF + HGB),22
2022-02-24,0,17.348946263667443,17.011608123779297,1,97058.67242350409,81868.11751289516,87119.85330200507,0,Ensemble (RF + HGB),22
2022-02-25,1,17.541715621948242,17.445329666137695,1,97017.16509844195,83955.3961487131,87119.85330200507,1,Ensemble (RF + HGB),22
2022-02-28,0,17.44533122509029,17.541715621948242,1,96360.68352096096,84419.25216393957,87119.85330200507,0,Ensemble (RF + HGB),22
2022-03-02,0,17.830863316802635,17.686288833618164,1,96360.68352096096,85115.00864951634,87119.85330200507,0,Ensemble (RF + HGB),22
2022-03-03,0,17.589906411017683,17.734479904174805,0,96360.68352096096,85346.92747804192,87119.85330200507,1,Ensemble (RF + HGB),22
2022-03-04,0,17.34894816147657,17.541715621948242,0,96360.68352096096,84419.25216393957,87080.17968907085,1,Ensemble (RF + HGB),22
2022-03-07,0,17.25256286119719,17.15618133544922,1,96360.68352096096,82563.87399847193,86112.61844603092,0,Ensemble (RF + HGB),22
2022-03-08,1,17.49352104432674,17.445329666137695,1,96319.30497485134,83955.3961487131,87563.9507319304,1,Ensemble (RF + HGB),22
2022-03-09,1,17.975436186909413,17.830862045288086,1,98176.70410392234,85810.76513509311,89499.06682887732,1,Ensemble (RF + HGB),22
2022-03-10,1,18.168202419326363,18.120010375976562,0,99768.75445078974,87202.28728533429,90950.39911477681,0,Ensemble (RF + HGB),22
2022-03-11,1,18.216392544907666,18.02362823486328,0,99238.07450245366,86738.44962828311,91315.98483935249,0,Ensemble (RF + HGB),22
2022-03-14,0,17.975437872795194,17.927244186401367,0,98846.75113131768,86274.60279214429,91275.53704014963,1,Ensemble (RF + HGB),22
2022-03-15,1,17.927245451042836,17.782672882080078,1,98804.91390573395,85578.85548565516,90296.71648653796,1,Ensemble (RF + HGB),22
2022-03-16,1,17.879053115844727,17.830862045288086,1,98273.70267567933,85810.76513509311,90668.59704318852,1,Ensemble (RF + HGB),22
2022-03-17,1,18.264586070726196,17.879053115844727,1,98539.30480570969,86042.68396361869,90628.26868703405,1,Ensemble (RF + HGB),22
2022-03-21,1,18.457350749712962,18.3609676361084,0,101195.34713048331,88361.89060704988,91466.41617884718,0,Ensemble (RF + HGB),22
