Date,Signal,Price,MTM_Price,Target_Return_Fwd,Model_Capital,BH_Capital,Random_Capital,Correct_Prediction,Model_Type,Features_Used
2022-01-03,1,126.86511819590693,126.11100769042969,1,99957.95,99363.78084402627,100000.0,1,Ensemble (RF + HGB),21
2022-01-04,1,127.39740593071568,127.5304946899414,1,100482.20498251749,100482.20498251749,99957.95,1,Ensemble (RF + HGB),21
2022-01-05,1,125.97794363994294,127.97406005859375,0,100831.69336491913,100831.69336491913,98718.3638683054,0,Ensemble (RF + HGB),21
2022-01-06,1,127.48613751635467,126.9538345336914,1,100027.85024825225,100027.85024825225,98718.3638683054,1,Ensemble (RF + HGB),21
2022-01-07,1,128.3732790912765,127.88536071777344,1,100761.80650869868,100761.80650869868,98718.3638683054,1,Ensemble (RF + HGB),21
2022-01-10,1,132.05507244303408,131.74452209472656,0,103802.46784607059,103802.46784607059,98676.5503301717,0,Ensemble (RF + HGB),21
2022-01-11,1,130.67993112869294,129.26048278808594,1,101845.27519656869,101845.27519656869,97524.37478812446,1,Ensemble (RF + HGB),21
2022-01-12,1,130.14763790687323,129.39353942871094,0,101950.11149215487,101950.11149215487,97524.37478812446,0,Ensemble (RF + HGB),21
2022-01-13,1,128.63945409789633,128.5950927734375,1,101321.00956106106,101321.00956106106,97524.37478812446,1,Ensemble (RF + HGB),21
2022-01-14,1,130.4137855909292,129.57098388671875,0,102089.92127212869,102089.92127212869,97482.78154097605,0,Ensemble (RF + HGB),21
2022-01-17,1,129.9702139001853,129.30482482910156,0,101880.21261342344,101880.21261342344,97027.11394904468,0,Ensemble (RF + HGB),21
2022-01-18,1,125.88922680486849,125.53437042236328,1,98909.44414352748,98909.44414352748,97027.11394904468,1,Ensemble (RF + HGB),21
2022-01-19,1,125.80052007609886,125.75615692138672,1,99084.19134035605,99084.19134035605,97027.11394904468,1,Ensemble (RF + HGB),21
2022-01-20,1,125.09077982487993,125.88922882080078,0,99189.03965845318,99189.03965845318,97027.11394904468,0,Ensemble (RF + HGB),21
2022-01-21,1,123.89308964304016,123.58259582519531,0,97371.62673264771,97371.62673264771,96985.61244652109,0,Ensemble (RF + HGB),21
2022-01-24,0,117.99343342241714,119.36853790283203,1,92848.10971838326,94051.33982407268,92248.10753604268,0,Ensemble (RF + HGB),21
2022-01-25,1,118.88058661541137,120.07828521728516,1,92807.37924214022,94610.55489894602,92207.48776020228,1,Ensemble (RF + HGB),21
2022-01-27,1,130.85737287172432,129.39353942871094,1,101014.60320087642,101950.11149215487,100361.66158668167,1,Ensemble (RF + HGB),21
2022-01-28,1,135.2044899199262,133.1640167236328,1,103958.12935763858,104920.89799581727,103286.16127935528,1,Ensemble (RF + HGB),21
2022-01-31,1,140.12827922075678,139.01931762695312,0,108529.2300476889,109534.33219469014,108551.82271413508,0,Ensemble (RF + HGB),21
2022-02-01,1,137.28935858001333,135.78115844726562,1,106001.27257715673,106982.96300843824,108508.1949028443,1,Ensemble (RF + HGB),21
2022-02-02,1,149.48790723963924,149.1774139404297,0,116459.42558073139,117537.97021463592,118003.62997708771,0,Ensemble (RF + HGB),21
2022-02-03,1,149.17738920280848,149.08868408203125,1,116390.1561915659,117468.05931339353,117958.25830735694,1,Ensemble (RF + HGB),21
2022-02-04,1,150.06455862680525,149.44354248046875,0,116667.1860994649,117747.65482831924,118168.71229936853,0,Ensemble (RF + HGB),21
2022-02-07,1,140.3944275321699,141.01544189453125,0,110087.55901619304,111107.09303368015,111504.40431496734,0,Ensemble (RF + HGB),21
2022-02-08,1,140.17264103150978,138.08778381347656,0,107802.00271507252,108800.36992298823,109189.43252194866,0,Ensemble (RF + HGB),21
2022-02-09,1,139.01931785874504,138.04344177246094,1,107767.38588877588,108765.43250613348,109154.37017130728,1,Ensemble (RF + HGB),21
2022-02-10,1,137.06755613670362,139.99520874023438,0,109291.08611879266,110303.24390575777,110697.68067815217,0,Ensemble (RF + HGB),21
2022-02-11,1,133.07529423860896,135.869873046875,0,106070.53005413148,107052.86188716967,107435.67551823963,0,Ensemble (RF + HGB),21
2022-02-14,0,131.30093793929166,132.18812561035156,1,102374.02593962742,104151.98628474964,104524.42658526993,0,Ensemble (RF + HGB),21
2022-02-15,1,137.15626056506431,136.44651794433594,0,102331.53793184157,107507.20459892394,108317.0595285079,0,Ensemble (RF + HGB),21
2022-02-16,1,136.13601820153974,134.93833923339844,0,100676.75892324108,106318.89961546774,108317.0595285079,0,Ensemble (RF + HGB),21
2022-02-17,1,133.16402101624425,134.6721954345703,1,100478.19048653319,106109.20297927347,108273.4750310249,1,Ensemble (RF + HGB),21
2022-02-18,1,133.2970879354251,134.8939971923828,0,100643.67556828907,106283.962198613,109680.0902029155,0,Ensemble (RF + HGB),21
2022-02-21,1,127.75228915935664,130.54685974121094,0,97400.30002606584,102858.82096068535,106145.5042488125,0,Ensemble (RF + HGB),21
2022-02-22,1,129.70403592817655,129.03868103027344,1,96275.05611572256,101670.51597722915,105327.51947471715,1,Ensemble (RF + HGB),21
2022-02-23,1,126.1553710329864,132.67605590820312,0,98988.88167322685,104536.4301177725,105284.48654737406,0,Ensemble (RF + HGB),21
