Date,Signal,Price,Target_Return_Fwd,Model_Capital,BH_Capital,Random_Capital,Correct_Prediction,Model_Type,Features_Used
2022-01-03,1,20.549999237060547,0,99957.95,99957.95,100000.0,0,Ensemble (RF + HGB),32
2022-01-04,0,20.5,1,99587.99210522998,99714.74701101286,99957.95,0,Ensemble (RF + HGB),32
2022-01-05,0,20.649999618530273,1,99587.99210522998,100444.36525557359,100561.58464382858,0,Ensemble (RF + HGB),32
2022-01-06,0,20.75,0,99587.99210522998,100930.78051114717,100561.58464382858,1,Ensemble (RF + HGB),32
2022-01-07,0,20.600000381469727,1,99587.99210522998,100201.16226658646,100561.58464382858,0,Ensemble (RF + HGB),32
2022-01-10,0,21.25,0,99587.99210522998,103362.84751141578,100519.43103146179,1,Ensemble (RF + HGB),32
2022-01-11,1,20.950000762939453,0,99546.01812068657,101903.61102229435,98974.21749214848,0,Ensemble (RF + HGB),32
2022-01-12,0,20.950000762939453,1,99419.43776494071,101903.61102229435,98974.21749214848,0,Ensemble (RF + HGB),32
2022-01-13,0,21.100000381469727,0,99419.43776494071,102633.22926685507,98974.21749214848,1,Ensemble (RF + HGB),32
2022-01-14,0,20.899999618530273,0,99419.43776494071,101660.39875570788,98932.35674902117,1,Ensemble (RF + HGB),32
2022-01-17,0,20.899999618530273,0,99419.43776494071,101660.39875570788,98806.41122596432,1,Ensemble (RF + HGB),32
2022-01-18,0,20.549999237060547,1,99419.43776494071,99957.95,98806.41122596432,0,Ensemble (RF + HGB),32
2022-01-19,1,20.899999618530273,0,99377.49487867307,101660.39875570788,98806.41122596432,0,Ensemble (RF + HGB),32
2022-01-20,0,20.600000381469727,0,97826.09692428421,100201.16226658646,98806.41122596432,1,Ensemble (RF + HGB),32
2022-01-21,0,20.399999618530273,0,97826.09692428421,99228.33175543929,98764.58144309312,1,Ensemble (RF + HGB),32
2022-01-24,0,20.049999237060547,1,97826.09692428421,97525.88299973139,96946.07018938888,0,Ensemble (RF + HGB),32
2022-01-25,1,20.25,1,97784.44800940168,98498.71351087856,96904.58363943893,1,Ensemble (RF + HGB),32
2022-01-27,0,20.899999618530273,1,100795.20117005648,101660.39875570788,100015.09931348686,0,Ensemble (RF + HGB),32
2022-01-28,0,21.200000762939453,1,100795.20117005648,103119.64452242866,101450.72825128077,0,Ensemble (RF + HGB),32
2022-01-31,0,21.399999618530273,0,100795.20117005648,104092.46575597649,102278.2642080042,1,Ensemble (RF + HGB),32
2022-02-01,0,20.799999237060547,1,100795.20117005648,101173.9835001343,102235.79386825782,0,Ensemble (RF + HGB),32
2022-02-02,1,21.649999618530273,0,100753.0044554406,105308.4992561108,106280.01596076474,0,Ensemble (RF + HGB),32
2022-02-03,1,21.549999237060547,0,100287.63082692832,104822.0840005372,106236.80729781998,0,Ensemble (RF + HGB),32
2022-02-04,0,21.049999237060547,0,97835.83114245108,102390.0170002686,103771.91608995582,1,Ensemble (RF + HGB),32
2022-02-07,0,21.0,0,97835.83114245108,102146.81401128147,103525.4307302949,1,Ensemble (RF + HGB),32
2022-02-08,0,20.649999618530273,0,97835.83114245108,100444.36525557359,101800.00500422723,1,Ensemble (RF + HGB),32
2022-02-09,0,20.5,1,97835.83114245108,99714.74701101286,101060.53952243073,0,Ensemble (RF + HGB),32
2022-02-10,0,20.600000381469727,0,97835.83114245108,100201.16226658646,101553.51964456632,1,Ensemble (RF + HGB),32
2022-02-11,1,20.299999237060547,0,97794.18043160529,98741.91649986569,100074.57927815957,0,Ensemble (RF + HGB),32
2022-02-14,1,19.25,1,92735.86423942125,93634.57951034135,94898.31150277032,1,Ensemble (RF + HGB),32
2022-02-15,1,19.5,1,93940.22611266049,94850.61301047566,96007.70983847552,1,Ensemble (RF + HGB),32
2022-02-16,0,19.649999618530273,0,94541.31268946649,95580.23125503637,96007.70983847552,1,Ensemble (RF + HGB),32
2022-02-17,0,19.399999618530273,0,94541.31268946649,94364.19775490207,95966.39641601032,1,Ensemble (RF + HGB),32
2022-02-18,1,19.200000762939453,0,94500.2698172753,93391.37652135422,94977.05776468146,0,Ensemble (RF + HGB),32
2022-02-21,1,18.799999237060547,0,92531.50676410699,91445.71549905986,92998.36159177854,0,Ensemble (RF + HGB),32
2022-02-22,1,18.299999237060547,1,90070.5623354046,89013.64849879127,90407.75269743374,1,Ensemble (RF + HGB),32
2022-02-23,1,18.649999618530273,0,91793.22531304786,90716.09725449915,90367.47246706104,0,Ensemble (RF + HGB),32
2022-02-24,1,16.850000381469727,1,82933.82912482243,81960.6597645719,81537.61993768935,1,Ensemble (RF + HGB),32
2022-02-25,1,17.549999237060547,1,86379.145692351,85365.54799838836,81537.61993768935,1,Ensemble (RF + HGB),32
2022-02-28,1,17.649999618530273,1,86871.33645564308,85851.96325396195,81537.61993768935,1,Ensemble (RF + HGB),32
2022-03-02,1,17.75,1,87363.52721893514,86338.37850953553,81537.61993768935,1,Ensemble (RF + HGB),32
2022-03-03,0,17.899999618530273,0,87987.06734892515,87067.99675409625,81537.61993768935,1,Ensemble (RF + HGB),32
2022-03-04,0,17.75,0,87987.06734892515,86338.37850953553,81498.97624681084,1,Ensemble (RF + HGB),32
2022-03-07,0,17.350000381469727,1,87987.06734892515,84392.72676484051,79662.38135051043,0,Ensemble (RF + HGB),32
2022-03-08,1,17.450000762939453,1,87947.23373499929,84879.1420204141,80121.53226397934,1,Ensemble (RF + HGB),32
2022-03-09,0,17.899999618530273,1,90098.28047486527,87067.99675409625,82187.69823822659,0,Ensemble (RF + HGB),32
2022-03-10,0,18.350000381469727,0,90098.28047486527,89256.86076537773,84253.87297004907,1,Ensemble (RF + HGB),32
2022-03-11,0,18.299999237060547,0,90098.28047486527,89013.64849879127,83913.7700032793,1,Ensemble (RF + HGB),32
2022-03-14,1,18.100000381469727,0,90058.05734211765,88040.82726524342,83874.6879127137,0,Ensemble (RF + HGB),32
2022-03-15,0,17.899999618530273,1,88947.20130307294,87067.99675409625,82947.89226518295,0,Ensemble (RF + HGB),32
2022-03-16,1,17.950000762939453,1,88907.19054443252,87311.20902068271,83069.94630471038,1,Ensemble (RF + HGB),32
2022-03-17,1,18.0,1,89154.83909638113,87554.41200966983,83031.01989961715,1,Ensemble (RF + HGB),32
2022-03-21,0,18.25,0,90275.98908777114,88770.44550980414,84073.53992494116,1,Ensemble (RF + HGB),32
2022-03-22,1,18.200000762939453,0,90235.73316778445,88527.24252081702,84034.42835682501,0,Ensemble (RF + HGB),32
2022-03-23,0,17.950000762939453,0,88880.56478914275,87311.20902068271,82770.76986127184,1,Ensemble (RF + HGB),32
2022-03-24,0,17.899999618530273,0,88880.56478914275,87067.99675409625,82731.89865423243,1,Ensemble (RF + HGB),32
2022-03-25,0,17.899999618530273,0,88880.56478914275,87067.99675409625,82731.89865423243,1,Ensemble (RF + HGB),32
2022-03-28,0,17.649999618530273,0,88880.56478914275,85851.96325396195,81468.43437286284,1,Ensemble (RF + HGB),32
2022-03-29,1,17.200000762939453,1,88840.56632493915,83663.1085202798,81468.43437286284,1,Ensemble (RF + HGB),32
2022-03-30,1,18.950000762939453,0,97879.57703263832,92175.34302121992,81468.43437286284,0,Ensemble (RF + HGB),32
2022-03-31,1,18.149999618530273,1,93747.45194093195,88284.03025423054,81468.43437286284,1,Ensemble (RF + HGB),32
2022-04-01,1,18.549999237060547,1,95813.5095609152,90229.68199892557,81468.43437286284,1,Ensemble (RF + HGB),32
2022-04-04,1,18.899999618530273,1,97621.31367280301,91932.13075463346,81468.43437286284,1,Ensemble (RF + HGB),32
2022-04-05,1,18.950000762939453,1,97879.57703263832,92175.34302121992,81468.43437286284,1,Ensemble (RF + HGB),32
2022-04-06,0,19.399999618530273,1,100076.6272384148,94364.19775490207,81468.43437286284,0,Ensemble (RF + HGB),32
2022-04-07,1,19.450000762939453,0,100034.56310068931,94607.41002148853,81429.80344672105,0,Ensemble (RF + HGB),32
2022-04-08,0,19.350000381469727,0,99393.69094602493,94120.99476591493,81011.13963755593,1,Ensemble (RF + HGB),32
2022-04-11,0,19.200000762939453,0,99393.69094602493,93391.37652135422,80276.39154996262,1,Ensemble (RF + HGB),32
2022-04-12,0,18.950000762939453,0,99393.69094602493,92175.34302121992,80237.98055572165,1,Ensemble (RF + HGB),32
2022-04-13,0,18.950000762939453,0,99393.69094602493,92175.34302121992,80237.98055572165,1,Ensemble (RF + HGB),32
2022-04-18,0,18.700000762939453,0,99393.69094602493,90959.30952108561,79179.43204219542,1,Ensemble (RF + HGB),32
2022-04-19,0,18.600000381469727,1,99393.69094602493,90472.89426551203,78756.01102156809,0,Ensemble (RF + HGB),32
2022-04-20,0,18.700000762939453,1,99393.69094602493,90959.30952108561,79073.92091974776,0,Ensemble (RF + HGB),32
2022-04-21,0,18.799999237060547,0,99393.69094602493,91445.71549905986,79035.73178133807,1,Ensemble (RF + HGB),32
