Date,Signal,Price,MTM_Price,Target_Return_Fwd,Model_Capital,BH_Capital,Random_Capital,Correct_Prediction,Model_Type,Features_Used
2022-01-03,1,35.3511933653447,35.2584114074707,1,99957.95,99695.60258190229,100000.0,1,Ensemble (RF + HGB),37
2022-01-04,1,35.351194125098445,35.58315658569336,1,100613.84208663547,100613.84208663547,99957.95000000001,1,Ensemble (RF + HGB),37
2022-01-05,1,35.443983912609106,35.95429992675781,1,101663.27561340637,101663.27561340637,100093.04163072363,1,Ensemble (RF + HGB),37
2022-01-06,1,36.00069174298554,36.000694274902344,1,101794.4588491231,101794.4588491231,100093.04163072363,1,Ensemble (RF + HGB),37
2022-01-07,1,36.13987363640149,36.09347915649414,1,102056.81453423557,102056.81453423557,100093.04163072363,1,Ensemble (RF + HGB),37
2022-01-10,1,37.53165261119081,37.438865661621094,0,105860.988147848,105860.988147848,100050.97446454276,0,Ensemble (RF + HGB),37
2022-01-11,1,37.16050860664145,37.067726135253906,1,104811.56540739808,104811.56540739808,98935.50851475562,1,Ensemble (RF + HGB),37
2022-01-12,1,37.067723212208215,37.11411666870117,1,104942.73785679383,104942.73785679383,98935.50851475562,1,Ensemble (RF + HGB),37
2022-01-13,1,37.06772460781391,37.299686431884766,0,105467.44922701879,105467.44922701879,98935.50851475562,0,Ensemble (RF + HGB),37
2022-01-14,1,37.160508730824084,37.2532958984375,0,105336.27677762303,105336.27677762303,98893.65491343466,0,Ensemble (RF + HGB),37
2022-01-17,1,37.114117990249596,36.974937438964844,0,104549.19893596462,104549.19893596462,98644.41947262203,0,Ensemble (RF + HGB),37
2022-01-18,1,36.047084398684824,36.279048919677734,1,102581.52590446053,102581.52590446053,98644.41947262203,1,Ensemble (RF + HGB),37
2022-01-19,1,37.021332792820616,37.11411666870117,0,104942.73785679383,104942.73785679383,98644.41947262203,0,Ensemble (RF + HGB),37
2022-01-20,1,36.69658399750798,37.11411666870117,0,104942.73785679383,104942.73785679383,98644.41947262203,0,Ensemble (RF + HGB),37
2022-01-21,1,36.00069304499553,36.000694274902344,0,101794.4588491231,101794.4588491231,98602.61957722933,0,Ensemble (RF + HGB),37
2022-01-24,1,35.16562429483401,35.2584114074707,1,99695.60258190229,99695.60258190229,96192.20399725082,1,Ensemble (RF + HGB),37
2022-01-25,1,36.18626336372298,36.557403564453125,1,103368.59295979797,103368.59295979797,96150.85653561333,1,Ensemble (RF + HGB),37
2022-01-27,1,39.06260621050331,38.181148529052734,0,107959.84441506882,107959.84441506882,101451.48443987314,0,Ensemble (RF + HGB),37
2022-01-28,1,38.13475353420321,37.90279006958008,1,107172.7665734104,107172.7665734104,100711.85559140073,1,Ensemble (RF + HGB),37
2022-01-31,1,38.78425425354311,38.55228805541992,0,109009.26715551873,109009.26715551873,102923.79289761899,0,Ensemble (RF + HGB),37
2022-02-01,1,38.32032171780989,38.32032775878906,1,108353.38333589802,108353.38333589802,102881.20345782938,1,Ensemble (RF + HGB),37
2022-02-02,1,39.804889914693376,39.712100982666016,0,112288.71861258522,112288.71861258522,106732.77197257878,0,Ensemble (RF + HGB),37
2022-02-03,1,39.433746567691664,39.52653121948242,0,111764.00724236025,111764.00724236025,106689.47977614985,0,Ensemble (RF + HGB),37
2022-02-04,1,38.50589599415629,38.50589370727539,1,108878.083919802,108878.083919802,104179.13907553455,1,Ensemble (RF + HGB),37
