Date,Signal,Price,Target_Return_Fwd,Model_Capital,BH_Capital,Random_Capital,Correct_Prediction,Model_Type,Features_Used
2022-01-03,1,438.42572021484375,1,99957.95,99957.95,100000.0,1,Ensemble (RF + HGB),36
2022-01-04,1,450.25244140625,1,102654.35842452222,102654.35842452222,99957.95,1,Ensemble (RF + HGB),36
2022-01-05,1,458.5403747558594,0,104543.94835769862,104543.94835769862,101668.9963907991,0,Ensemble (RF + HGB),36
2022-01-06,1,457.8885803222656,0,104395.3438566408,104395.3438566408,101668.9963907991,0,Ensemble (RF + HGB),36
2022-01-07,1,457.469482421875,1,104299.79251227209,104299.79251227209,101668.9963907991,1,Ensemble (RF + HGB),36
2022-01-10,1,469.01678466796875,1,106932.49540202113,106932.49540202113,101626.638460965,1,Ensemble (RF + HGB),36
2022-01-11,1,471.1586608886719,1,107420.82796624734,107420.82796624734,101961.52770180324,1,Ensemble (RF + HGB),36
2022-01-12,1,475.1629333496094,1,108333.77364434447,108333.77364434447,101961.52770180324,1,Ensemble (RF + HGB),36
2022-01-13,1,476.18731689453125,0,108567.32581622423,108567.32581622423,101961.52770180324,0,Ensemble (RF + HGB),36
2022-01-14,1,473.39361572265625,1,107930.38179314916,107930.38179314916,101919.11579994226,1,Ensemble (RF + HGB),36
2022-01-17,1,478.6551208496094,0,109129.96758877038,109129.96758877038,102921.68255802887,0,Ensemble (RF + HGB),36
2022-01-18,1,471.9501647949219,1,107601.28523469174,107601.28523469174,102921.68255802887,1,Ensemble (RF + HGB),36
2022-01-19,1,480.331298828125,0,109512.12426170796,109512.12426170796,102921.68255802887,0,Ensemble (RF + HGB),36
2022-01-20,1,476.2339172363281,0,108577.95036314413,108577.95036314413,102921.68255802887,0,Ensemble (RF + HGB),36
2022-01-21,1,468.13214111328125,0,106730.802955319,106730.802955319,102879.09350759692,0,Ensemble (RF + HGB),36
2022-01-24,1,460.1700744628906,1,104915.50831488046,104915.50831488046,101001.09108959803,1,Ensemble (RF + HGB),36
2022-01-25,1,479.26043701171875,1,109267.97537407246,109267.97537407246,100958.856388292,1,Ensemble (RF + HGB),36
2022-01-27,1,492.57708740234375,0,112304.07707280785,112304.07707280785,103764.08229582362,0,Ensemble (RF + HGB),36
2022-01-28,1,487.4552917480469,1,111136.34404457323,111136.34404457323,102685.14777092001,1,Ensemble (RF + HGB),36
2022-01-31,1,501.28411865234375,0,114289.21835035298,114289.21835035298,105465.42508139047,0,Ensemble (RF + HGB),36
2022-02-01,1,495.69671630859375,1,113015.33030420286,113015.33030420286,105422.36671046294,1,Ensemble (RF + HGB),36
2022-02-02,0,502.680908203125,1,114465.51480502472,114607.67644630843,106773.53462628135,0,Ensemble (RF + HGB),36
2022-02-03,1,502.9602966308594,0,114420.79591754319,114671.37502329056,106730.2349091428,0,Ensemble (RF + HGB),36
2022-02-04,1,493.8341979980469,1,112344.65695352713,112590.68935916775,104793.63940168676,1,Ensemble (RF + HGB),36
2022-02-07,1,496.5814208984375,0,112969.63557098707,113217.03666648707,105376.6113528936,0,Ensemble (RF + HGB),36
2022-02-08,1,494.8119812011719,1,112567.09743856303,112813.6169841276,105001.1290020763,1,Ensemble (RF + HGB),36
2022-02-09,1,498.4438171386719,1,113393.32082318075,113641.64978035801,105771.81946284906,1,Ensemble (RF + HGB),36
2022-02-10,1,503.3794250488281,0,114516.14540635352,114766.93332545031,106819.17567605135,0,Ensemble (RF + HGB),36
2022-02-11,1,493.182373046875,0,112196.37023942344,112442.0779003189,104655.31947738212,0,Ensemble (RF + HGB),36
2022-02-14,1,466.9215087890625,1,106222.16311017406,106454.78738471484,99082.65652579624,1,Ensemble (RF + HGB),36
2022-02-15,1,488.7124328613281,0,111179.48259011967,111422.96328872418,103575.89519879977,0,Ensemble (RF + HGB),36
2022-02-16,1,481.16943359375,0,109463.49032277142,109703.2130348633,103575.89519879977,0,Ensemble (RF + HGB),36
2022-02-17,1,477.6773376464844,1,108669.0570436774,108907.03996381052,103533.1854461356,1,Ensemble (RF + HGB),36
2022-02-18,1,479.8656921386719,0,109166.89606680331,109405.96924379245,104007.49580923097,0,Ensemble (RF + HGB),36
2022-02-21,1,476.6529541015625,0,108436.01522840899,108673.48779193076,103311.15755583016,0,Ensemble (RF + HGB),36
2022-02-22,1,464.1278381347656,1,105586.61787541622,105817.85031943083,100468.76022675412,1,Ensemble (RF + HGB),36
2022-02-23,1,464.4072265625,0,105650.17725870285,105881.54889641295,100426.62374049229,0,Ensemble (RF + HGB),36
2022-02-24,1,440.1485290527344,1,100131.45242975777,100350.73817764851,95058.6910799184,1,Ensemble (RF + HGB),36
2022-02-25,1,449.740234375,1,102313.514442469,102537.57885968681,95058.6910799184,1,Ensemble (RF + HGB),36
2022-02-28,1,449.9730529785156,0,102366.47943811004,102590.65984754008,95058.6910799184,0,Ensemble (RF + HGB),36
2022-03-02,1,441.63848876953125,0,100470.41035113441,100690.43840965272,95058.6910799184,0,Ensemble (RF + HGB),36
2022-03-03,1,435.2594909667969,0,99019.22223423059,99236.07222168508,95058.6910799184,0,Ensemble (RF + HGB),36
2022-03-04,1,430.1842956542969,0,97864.64225846872,98078.96374037037,95017.55275141416,0,Ensemble (RF + HGB),36
2022-03-07,1,410.0230407714844,0,93278.06386283653,93482.34083575182,90564.40762567529,0,Ensemble (RF + HGB),36
2022-03-08,1,410.0230407714844,1,93278.06386283653,93482.34083575182,90564.40762567529,1,Ensemble (RF + HGB),36
2022-03-09,1,420.6391296386719,1,95693.16769081618,95902.73368966988,92909.25097337924,1,Ensemble (RF + HGB),36
2022-03-10,1,436.4701232910156,1,99294.63465749445,99512.08779228924,96405.94364594879,1,Ensemble (RF + HGB),36
2022-03-11,1,438.0066833496094,1,99644.1939091036,99862.41257121335,96621.65043184058,1,Ensemble (RF + HGB),36
2022-03-14,1,451.7889404296875,1,102779.58418783198,103004.66928786425,96580.22373733591,1,Ensemble (RF + HGB),36
2022-03-15,1,452.4408264160156,1,102927.88478710949,103153.29466229519,96719.57928320413,1,Ensemble (RF + HGB),36
2022-03-16,1,458.8663330078125,1,104389.65340648507,104618.26452380962,97968.10095102368,1,Ensemble (RF + HGB),36
2022-03-17,1,467.3871765136719,0,106328.10004404305,106560.95631821241,97926.42583639821,0,Ensemble (RF + HGB),36
2022-03-21,1,456.86419677734375,1,103934.17804876767,104161.79168476105,95599.03911544193,1,Ensemble (RF + HGB),36
2022-03-22,1,459.75103759765625,0,104590.91900140363,104819.97088609383,95557.80109272513,0,Ensemble (RF + HGB),36
2022-03-23,1,456.9107666015625,0,103944.77243641327,104172.4092738899,94845.61589976578,0,Ensemble (RF + HGB),36
2022-03-24,1,453.6048583984375,1,103192.69588014083,103418.68568597945,94804.51688363227,1,Ensemble (RF + HGB),36
2022-03-25,1,456.95733642578125,1,103955.36682405886,104183.02686301876,95505.19293209325,1,Ensemble (RF + HGB),36
2022-03-28,1,463.28973388671875,0,105395.95361073017,105626.76850406651,96704.9101094291,0,Ensemble (RF + HGB),36
2022-03-29,1,460.96160888671875,0,104866.31753949364,105095.9725411159,96704.9101094291,0,Ensemble (RF + HGB),36
2022-03-30,1,460.30975341796875,0,104718.02388280304,104947.35412447601,96704.9101094291,0,Ensemble (RF + HGB),36
2022-03-31,1,459.611328125,1,104559.13583846686,104788.11811870724,96704.9101094291,1,Ensemble (RF + HGB),36
2022-04-01,1,473.2539367675781,1,107662.75683943229,107898.53598355362,96704.9101094291,1,Ensemble (RF + HGB),36
2022-04-04,1,477.1651611328125,0,108552.53960733666,108790.26735676617,96704.9101094291,0,Ensemble (RF + HGB),36
2022-04-05,1,474.37139892578125,1,107916.97354481804,108153.30941810903,96704.9101094291,1,Ensemble (RF + HGB),36
2022-04-06,1,478.6085510253906,1,108880.9031410677,109119.34999964152,96704.9101094291,1,Ensemble (RF + HGB),36
2022-04-07,1,479.539794921875,1,109092.75618104493,109331.66699326354,96663.4680535139,1,Ensemble (RF + HGB),36
2022-04-08,1,480.6106872558594,0,109336.3784987851,109575.82283869009,96879.33369805696,0,Ensemble (RF + HGB),36
2022-04-11,1,479.49322509765625,0,109082.16179339934,109321.04940413468,96530.49207197964,0,Ensemble (RF + HGB),36
2022-04-12,1,477.5841369628906,1,108647.85438321237,108885.79086997072,96489.08219619235,1,Ensemble (RF + HGB),36
2022-04-13,1,482.1007080078125,0,109675.35030533558,109915.53698627638,97401.59113664794,0,Ensemble (RF + HGB),36
2022-04-18,1,474.4645690917969,1,107938.16926269614,108174.55155415779,95858.81787743849,1,Ensemble (RF + HGB),36
2022-04-19,1,476.60638427734375,0,108425.42084076339,108662.8702028019,96291.54117264992,0,Ensemble (RF + HGB),36
2022-04-20,1,474.2782897949219,1,107895.79171211379,108132.08119764234,95698.45578135316,1,Ensemble (RF + HGB),36
2022-04-21,1,480.7969055175781,0,109378.74216419361,109618.27927962344,95657.1994162615,0,Ensemble (RF + HGB),36
2022-04-22,1,466.1765441894531,0,106052.6876207792,106284.94074760826,92628.84957574574,0,Ensemble (RF + HGB),36
2022-04-25,1,460.7288513183594,1,104813.36642902644,105042.90546884472,92588.15955299902,1,Ensemble (RF + HGB),36
2022-04-26,1,470.7396240234375,0,107090.76404537416,107325.29053746069,94599.92638247876,0,Ensemble (RF + HGB),36
2022-04-27,1,463.056884765625,1,105342.98167250221,105573.6805584222,93056.00160726448,1,Ensemble (RF + HGB),36
2022-04-28,1,472.60205078125,0,107514.45624015477,107749.91060912269,94852.34921596435,0,Ensemble (RF + HGB),36
2022-04-29,1,462.1722412109375,0,105141.7299627575,105371.98811172007,94811.248957534,0,Ensemble (RF + HGB),36
2022-05-02,1,457.2366943359375,0,104018.91926475857,104246.71848220986,93678.1228639636,0,Ensemble (RF + HGB),36
