Date,Signal,Exec_Price_NextOpen,MTM_Price,Target_Return_Fwd,Model_Capital,BH_Capital,Random_Capital,Correct_Prediction,Model_Type,Features_Used
2022-01-03,1,16.910543747305397,16.823822021484375,1,99957.95,99445.33928427935,100000.0,1,Ensemble (RF + HGB),18
2022-01-04,1,17.647669196449257,17.517589569091797,1,103546.18801342891,103546.18801342891,99957.95,1,Ensemble (RF + HGB),18
2022-01-05,1,17.34414595350137,17.734390258789062,0,104827.69337626966,104827.69337626966,98113.53965951299,0,Ensemble (RF + HGB),18
2022-01-06,0,17.734389899081812,17.647668838500977,0,104695.64700344775,104315.08446654925,98113.53965951299,1,Ensemble (RF + HGB),18
2022-01-07,1,18.211356030690116,17.647668838500977,1,104652.73065657563,104315.08446654925,98113.53965951299,1,Ensemble (RF + HGB),18
2022-01-10,1,17.907830420041584,17.907833099365234,0,102908.51657792563,105852.91119571048,98071.8377114458,0,Ensemble (RF + HGB),18
2022-01-11,0,17.734392213691226,17.691028594970703,1,101782.79956945701,104571.38328425602,96997.93448916324,0,Ensemble (RF + HGB),18
2022-01-12,0,17.994551113468834,17.777751922607422,0,101782.79956945701,105084.00346828329,96997.93448916324,1,Ensemble (RF + HGB),18
2022-01-13,0,17.560947478644767,17.604307174682617,1,101782.79956945701,104058.77437453561,96997.93448916324,0,Ensemble (RF + HGB),18
2022-01-14,1,18.21135525778565,18.124631881713867,1,101740.42064293644,107134.40528424435,96956.43837024999,1,Ensemble (RF + HGB),18
2022-01-17,1,18.384798130371475,18.254714965820312,0,101982.65604343005,107903.3242859784,97754.98374773262,0,Ensemble (RF + HGB),18
2022-01-18,0,17.907833774280725,17.864473342895508,1,99917.65683679326,105596.61237800369,97754.98374773262,0,Ensemble (RF + HGB),18
2022-01-19,1,18.948481822447192,18.68832015991211,0,99875.62202910689,110466.35756027358,97754.98374773262,0,Ensemble (RF + HGB),18
2022-01-20,1,18.1246321905956,18.211355209350586,0,95990.29867248748,107647.02546827162,97754.98374773262,0,Ensemble (RF + HGB),18
2022-01-21,0,17.647672062929924,17.647668838500977,0,92899.35077690908,104315.08446654925,97713.34795323116,1,Ensemble (RF + HGB),18
2022-01-24,0,16.82382267932637,16.95390510559082,1,92899.35077690908,100214.2582860134,93031.8130033572,0,Ensemble (RF + HGB),18
2022-01-25,1,17.170705678618106,17.517589569091797,1,92858.61084669075,103546.18801342891,92991.04863385808,1,Ensemble (RF + HGB),18
